Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
114 S East St Ste 100,Benton,United States,Saline County,"Benton, AR",Benton Police Department,36,501-776-5950,19018,Arkansas,Police Departments,,72015-4387,501-776-5951,
6154 Mayfield Rd,Mayfield Hts,United States,Cuyahoga County,"Mayfield Hts, OH",Mayfield Heights Police Department,33,440-442-2323,19008,Ohio,Police Departments,,44124-3296,440-442-5589,
843 G St,Reedley,United States,Fresno County,"Reedley, CA",Reedley Police Department,23,559-637-4250,22000,California,Police Departments,,93654-2697,559-638-7218,
8820 Brookfield Ave,Brookfield,United States,Cook County,"Brookfield, IL",Brookfield Police Department,29,708-485-8131,18300,Illinois,Police Departments,,60513-1688,708-485-2106,
201 W Poplar St,Sidney,United States,Shelby County,"Sidney, OH",Sidney Police Department - OH,40,937-498-2351,20000,Ohio,Police Departments,,45365-2720,937-498-8129,
754 Lakeview Pkwy,Vernon Hills,United States,Lake County,"Vernon Hills, IL",Vernon Hills Police Department,43,847-362-4449,"26,300",Illinois,Police Departments,,60061-1834,847-367-3734,
10 N 1st St,Miamisburg,United States,Montgomery County,"Miamisburg, OH",Miamisburg Police Department,39,937-847-6600,20000,Ohio,Police Departments,,45342-2300,937-866-1570,
505 Commonwealth Ave,Erlanger,United States,Kenton County,"Erlanger, KY",Erlanger Police Department,31,859-727-2424,19000,Kentucky,Police Departments,,41018-1223,859-727-2117,
33000 Solon Rd,Solon,United States,Cuyahoga County,"Solon, OH",Solon Police Department,40,440-248-2932,19000,Ohio,Police Departments,,44139-2811,440-248-6751,
1226 W King St,Cocoa,United States,Brevard County,"Cocoa, FL",Cocoa Police Department,65,321-639-7620,17000,Florida,Police Departments,,32922-8620,321-637-6357,
11498 Okeechobee Blvd,Royal Palm Beach,United States,Palm Beach County,"Royal Palm Beach, FL",Royal Palm Beach Police Department,52,561-790-5180,25500,Florida,Police Departments,,33411-8715,561-753-1239,
345 S County Rd,Palm Beach,United States,Palm Beach County,"Palm Beach, FL",Palm Beach Police Department,78,561-838-5460,19000,Florida,Police Departments,,33480-4443,561-835-4600,
420 W Trinity Pl,Decatur,United States,Dekalb County,"Decatur, GA",City of Decatur Public Safety Department,49,404-373-6551,18000,Georgia,Police Departments,,30030-3000,404-370-4117,
115 W Center,Carrollton,United States,Carroll County,"Carrollton, GA",Carrollton Police Department,53,770-834-4451,19000,Georgia,Police Departments,,30117-3331,770-834-8958,
225 E Weatherspoon St,Sanford,United States,Lee County,"Sanford, NC",Sanford Police Department,53,919-775-8346,20000,North Carolina,Police Departments,,27330-3643,919-774-4036,
201 Washington Xing Pennington Rd,Titusville,United States,Mercer County,"Titusville, NJ",Hopewell Township Police Department,38,609-737-3100,19000,New Jersey,Police Departments,,08560,609-737-1775,
1 Crocker Blvd,Mt Clemens,United States,Macomb County,"Mt Clemens, MI",Mount Clemens Police Department,37,586-469-6860,18000,Michigan,Police Departments,,48043-2566,586-469-5034,
1510 Paper Mill Rd,Wyndmoor,United States,Montgomery County,"Wyndmoor, PA",Springfield Township Police Department,30,215-836-1600,19000,Pennsylvania,Police Departments,,19038-7032,215-233-5018,
300 Virginia Ave,Seaford,United States,Sussex County,"Seaford, DE",Seaford Police Department,21,302-629-6644,19000,Delaware,Police Departments,,19973-1516,302-629-0672,
2410 Goodale Ave,Overland,United States,St Louis County,"Overland, MO",City of Overland Police Department,47,314-428-1221,18959,Missouri,Police Departments,,63114-5403,314-428-8625,
2201 E Keihl Ave,Sherwood,United States,Pulaski County,"Sherwood, AR",Sherwood Police Department,52,501-835-1425,20000,Arkansas,Police Departments,,72120-3131,501-835-3907,
17 Berea Commons,Berea,United States,Cuyahoga County,"Berea, OH",Berea Police Department,29,440-826-5871,18984,Ohio,Police Departments,,44017-2524,440-826-1377,
130 W Franklin St,Gallatin,United States,Sumner County,"Gallatin, TN",Gallatin Police Department,52,615-452-1313,22000,Tennessee,Police Departments,,37066-2766,615-452-1597,
216 N College St,Waxahachie,United States,Ellis County,"Waxahachie, TX",Waxahachie Police Department,46,972-937-9940,25000,Texas,Police Departments,,75165-3704,972-937-1308,
425 W Market,Dyersburg,United States,Dyer County,"Dyersburg, TN",Dyersburg Police Department,62,731-288-7649,18500,Tennessee,Police Departments,,38024-5019,731-288-2501,
100 Hill Rd,Denver,United States,Lancaster County,"Denver, PA",East Cocalico Township Police Department,21,717-336-1725,18700,Pennsylvania,Police Departments,,17517-9148,717-336-1737,
5050 S Lake Dr,Cudahy,United States,Milwaukee County,"Cudahy, WI",Cudahy Police Department,29,414-769-2218,18410,Wisconsin,Police Departments,,53110-2045,414-769-2259,
777 Broadway,Hannibal,United States,Marion County,"Hannibal, MO",Hannibal Police Department,36,573-221-0987,18672,Missouri,Police Departments,,63401-4305,573-221-3966,
101 NW A St,Grants Pass,United States,Josephine County,"Grants Pass, OR",Grants Pass Department of Public Safety,39,541-474-6370,23170,Oregon,Police Departments,,97526-2000,541-476-8527,
301 W Lafayette St,Ottawa,United States,La Salle County,"Ottawa, IL",Ottawa Police Department,28,815-433-2131,18600,Illinois,Police Departments,,61350-2077,815-433-4600,
22825 Williamette Dr,West Linn,United States,Clackamas County,"West Linn, OR",West Linn Police Department,29,503-655-6214,22835,Oregon,Police Departments,,97068-3339,503-656-0319,
6 Chesapeake St,Lyndora,United States,Butler County,"Lyndora, PA",Butler Township Police Department,21,724-285-9600,18600,Pennsylvania,Police Departments,,16045-1101,724-285-9443,
101 N 3rd & 1/2 St,Paragould,United States,Greene County,"Paragould, AR",Paragould Police Department,31,870-236-7621,20712,Arkansas,Police Departments,,72450,870-239-7554,
205 SE Jackson St,Roseburg,United States,Douglas County,"Roseburg, OR",Roseburg Police Department,35,541-673-6633,21000,Oregon,Police Departments,,97470-3341,541-672-8723,
100 E Broadway,Sand Springs,United States,Tulsa County,"Sand Springs, OK",Sand Springs Police Department,32,918-246-2532,19000,Oklahoma,Police Departments,,74063-7639,918-241-0179,
200 Fifth St,Gretna,United States,Jefferson Parish,"Gretna, LA",Gretna Police Department,115,504-363-1700,18500,Louisiana,Police Departments,,70053-5498,504-363-1725,
111 Civic Dr,Hercules,United States,Contra Costa County,"Hercules, CA",Hercules Police Department,25,510-799-8260,22000,California,Police Departments,,94547-1771,510-799-8281,
118 NW 3rd St,Faribault,United States,Rice County,"Faribault, MN",Faribault Police Department,28,507-332-6015,21000,Minnesota,Police Departments,,55021-5144,507-334-0268,
65 Plaza St NE,Leesburg,United States,Loudoun County,"Leesburg, VA",Leesburg Police Department,47,703-771-4500,26000,Virginia,Police Departments,,20176-3206,703-771-4545,
250 S Wayne Ave,Waynesboro,United States,Waynesboro City County,"Waynesboro, VA",Waynesboro City Sheriffs Office,6,540-942-6639,19500,Virginia,Independent City Sheriffs,,22980-4622,540-942-6794,
101 Lampkin St,Starkville,United States,Oktibbeha County,"Starkville, MS",Starkville Police Department,38,662-323-4135,29000,Mississippi,Police Departments,,39759,662-324-4016,
880 Tennent Ave,Pinole,United States,Contra Costa County,"Pinole, CA",Pinole Police Department,23,510-724-8950,18600,California,Police Departments,,94564-1764,510-724-9061,
444 W Grand Ave,Wisconsin Rapids,United States,Wood County,"Wisconsin Rapids, WI",Wisconsin Rapids Police Department,38,715-423-4444,18354,Wisconsin,Police Departments,,54495-2768,715-423-4408,
229 Hockersville Rd,Hershey,United States,Dauphin County,"Hershey, PA",Derry Township Police Department,35,717-534-2202,19600,Pennsylvania,Police Departments,,17033-1997,717-533-8220,
Law Enforcement Ctr,Albert Lea,United States,Freeborn County,"Albert Lea, MN",Albert Lea Police Department,30,507-377-5215,18248,Minnesota,Police Departments,,56007,507-377-5257,
103 Main St,Cahokia,United States,St Clair County,"Cahokia, IL",Cahokia Police Department,35,618-337-9505,18293,Illinois,Police Departments,,62206-1019,618-337-9508,
425 Walnut,Klamath Falls,United States,Klamath County,"Klamath Falls, OR",Klamath Falls Police Department,30,541-883-5336,18244,Oregon,Police Departments,,97601-6138,541-883-5389,
1700 Seventh St,Sanger,United States,Fresno County,"Sanger, CA",Sanger Police Department,25,559-875-8521,18600,California,Police Departments,,93657-2804,559-875-5391,
4120 Sardis Rd,Murrysville,United States,Westmoreland County,"Murrysville, PA",Murrysville Police Department,19,724-327-2100 ext 200 ,18216,Pennsylvania,Police Departments,,15668-1120,724-733-0079,
321 E 5th St,Port Angeles,United States,Clallam County,"Port Angeles, WA",Port Angeles Police Department,28,360-452-4545,19200,Washington,Police Departments,,98362-3206,360-417-4556,
4500 W 123rd St,Alsip,United States,Cook County,"Alsip, IL",Alsip Police Department (IL),42,708-385-6902,20000,Illinois,Police Departments,,60803-2521,708-385-7750,
215 Center St S,Vienna,United States,Fairfax County,"Vienna, VA",Vienna Police Department,39,703-255-6390,18134,Virginia,Police Departments,,22180-5731,703-255-5732,
97 Mowhawk St,Cohoes,United States,Albany County,"Cohoes, NY",Cohoes City Police Department,34,518-237-5333,18142,New York,Police Departments,,12047-2831,518-233-2167,
2800 Shillington Rd,Reading,United States,Berks County,"Reading, PA",Spring Township Police Department,24,610-678-3431,25000,Pennsylvania,Police Departments,,19608-1682,610-678-3637,
401 E Gay St,West Chester,United States,Chester County,"West Chester, PA",West Chester Police Department,42,610-696-2700,18041,Pennsylvania,Police Departments,,19380-2792,610-436-1388,
9545 W Belmont Ave,Franklin Park,United States,Cook County,"Franklin Park, IL",Franklin Park Police Department,54,847-671-8200,18500,Illinois,Police Departments,,60131-2706,847-671-9345,
1990 Apple Ave,Muskegon,United States,Muskegon County,"Muskegon, MI",Muskegon Township Police Department,12,231-777-1666,18000,Michigan,Police Departments,,49442-4293,231-777-3703,
8900 Clifford St,White Settlement,United States,Tarrant County,"White Settlement, TX",White Settlement Police Department,43,817-246-7070,18029,Texas,Police Departments,,76108-1443,817-367-3276,
860 SE Barrington Dr,Oak Harbor,United States,Island County,"Oak Harbor, WA",Oak Harbor Police Department,26,360-679-5551,20510,Washington,Police Departments,,98277-5751,360-675-4842,
700 E Pine,Deming,United States,Luna County,"Deming, NM",Deming Police Department,26,505-546-3011,18000,New Mexico,Police Departments,,88030-3873,505-546-0503,
320 Warner Milne Rd,Oregon City,United States,Clackamas County,"Oregon City, OR",Oregon City Police Department,28,503-657-4964,20000,Oregon,Police Departments,,97045-4046,503-655-0530,
318 Moreno St,Las Vegas,United States,San Miguel County,"Las Vegas, NM",Las Vegas Police Department,37,505-425-7504,18000,New Mexico,Police Departments,,87701-3702,505-425-5046,
323 N Main St,Tooele,United States,Tooele County,"Tooele, UT",Tooele Police Department,25,435-882-8900,22000,Utah,Police Departments,,84074-1652,435-882-7777,
749 Main St,Louisville,United States,Boulder County,"Louisville, CO",Louisville Police Department,32,303-666-8633,19400,Colorado,Police Departments,,80027-1829,303-335-4683,
1401 E. Watertower Ave.,Meridian,United States,Ada County,"Meridian, ID",Meridian Police Department (ID),114,208-846-7300,"114,000",Idaho,Police Departments,,83642-3513,208-846-7372,
325 N Washington,Liberal,United States,Seward County,"Liberal, KS",Liberal Police Department,37,620-626-0141,19200,Kansas,Police Departments,,67905-3441,620-626-0559,
5291 E 60th Ave,Commerce City,United States,Adams County,"Commerce City, CO",Commerce City Police Department,66,303-289-3653,22250,Colorado,Police Departments,,80022-3203,303-289-3732,
611 N Pine St,Pittsburg,United States,Crawford County,"Pittsburg, KS",Pittsburg Police Department KS,35,620-235-0400,18670,Kansas,Police Departments,,66762-3819,620-235-0508,
255 W Deerpath Rd,Lake Forest,United States,Lake County,"Lake Forest, IL",Lake Forest Police Department,45,847-234-2601,20200,Illinois,Police Departments,,60045-2196,847-615-4382,
7001 E 163rd St,Belton,United States,Cass County,"Belton, MO","Belton Police Department, MO",27,816-331-5522,21000,Missouri,Police Departments,,64012-4614,816-322-7057,
4343 Remembrance Rd NW,Walker,United States,Kent County,"Walker, MI",Walker Police Department,38,616-453-5441,22000,Michigan,Police Departments,,49544-7503,616-791-6811,
2395 W 12 Mile Rd,Berkley,United States,Oakland County,"Berkley, MI",Berkley Department of Public Safety,32,248-541-9000,18000,Michigan,Police Departments,,48072-1852,248-546-2418,
435 N Michigan Ave,Big Rapids,United States,Mecosta County,"Big Rapids, MI",Big Rapids Public Safety Department,15,231-527-0005,18000,Michigan,Police Departments,,49307-1417,231-592-5570,
115 N Broad St,Griffith,United States,Lake County,"Griffith, IN",Griffith Police Department,31,219-924-7503,18000,Indiana,Police Departments,,46319-2293,219-922-3076,
301 Putnam St,Marietta,United States,Washington County,"Marietta, OH",Marietta Police Department,32,740-376-2007,16000,Ohio,Police Departments,,45750-3020,740-373-3742,
213 S Main St,Fostoria,United States,Seneca County,"Fostoria, OH",Fostoria Police Department,26,419-435-8573,18000,Ohio,Police Departments,,44830-2322,419-435-9754,
5661 Perkins Rd,Bedford Hts,United States,Cuyahoga County,"Bedford Hts, OH",Bedford Heights Police Department,37,440-786-3222,12000,Ohio,Police Departments,,44146-2597,440-786-3279,
109 E Dudley St,Maumee,United States,Lucas County,"Maumee, OH",Maumee Police Department,44,419-897-7025,16000,Ohio,Police Departments,,43537-3365,419-897-7019,
16 S Maple St,Winchester,United States,Clark County,"Winchester, KY",Winchester Police  Department,27,859-745-7403,18000,Kentucky,Police Departments,,40392-1902,859-745-7404,
130 N Fort Thomas Ave,Ft Thomas,United States,Campbell County,"Ft Thomas, KY",Fort Thomas Police Department,22,859-441-0300,18000,Kentucky,Police Departments,,41075-1519,859-441-3230,
3800 Municipal Way,Hilliard,United States,Franklin County,"Hilliard, OH",Hilliard Police Department,41,614-876-2429,20000,Ohio,Police Departments,,43026-1620,614-876-1507,
6739 Adams St,New Port Richey,United States,Pasco County,"New Port Richey, FL",New Port Richey Police Department,32,727-841-4550,18000,Florida,Police Departments,,34652-1905,727-816-1132,
560 US 1,North Palm Beach,United States,Palm Beach County,"North Palm Beach, FL",North Palm Beach Police Department,38,561-848-2525,18000,Florida,Police Departments,,33408-4902,561-881-4425,
2995 Jog Rd,Greenacres,United States,Palm Beach County,"Greenacres, FL",Greenacres Department of Public Safety,50,561-642-2160,30000,Florida,Police Departments,,33467-2003,561-642-2109,
119 S Lee St,Americus,United States,Sumter County,"Americus, GA",Americus Police Department,45,229-924-3678,18000,Georgia,Police Departments,,31709-3597,229-924-8972,
206 Mansfield St,Brunswick,United States,Glynn County,"Brunswick, GA",Brunswick Police Department,80,912-267-5560,18000,Georgia,Police Departments,,31520-7397,912-267-5526,
1055 20th St,Vero Beach,United States,Indian River County,"Vero Beach, FL",Vero Beach Police Department,63,772-978-4610,18000,Florida,Police Departments,,32960-6441,772-978-4677,
1201 Crews Rd,Matthews,United States,Mecklenburg County,"Matthews, NC",Matthews Police Department,53,704-847-4069,23600,North Carolina,Police Departments,,28105-7581,704-845-5824,
205 E Academy St,Asheboro,United States,Randolph County,"Asheboro, NC",Asheboro Police Department,69,336-626-1301,21000,North Carolina,Police Departments,,27203-5708,336-629-8502,
106 N Main St,Lexington,United States,Davidson County,"Lexington, NC",Lexington Police Department,64,336-243-3308,18000,North Carolina,Police Departments,,27292-3416,336-249-7753,
402 S Blakely St,Dunmore,United States,Lackawanna County,"Dunmore, PA",Dunmore Police Department,10,570-343-0851,18000,Pennsylvania,Police Departments,,18512-2235,570-342-1555,
200 Niagara St,Tonawanda,United States,Erie County,"Tonawanda, NY",Tonawanda City Police Department,30,716-692-2121,18000,New York,Police Departments,,14150-1003,716-692-2182,
50 Tompkins Rd,Scarsdale,United States,Westchester County,"Scarsdale, NY",Scarsdale Village Police Department,43,914-722-1200,18000,New York,Police Departments,,10583-2841,914-722-1214,
1000 Woods Rd,Syracuse,United States,Onondaga County,"Syracuse, NY",Geddes Town Police Department,16,315-468-3283,18000,New York,Police Departments,,13209-1545,315-487-0464,
1155 E Main St,Ashland,United States,Jackson County,"Ashland, OR",Ashland Police Department (OR),26,541-482-5211,17900,Oregon,Police Departments,,97520-2271,541-488-5351,
325 S Broadway St,DePere,United States,Brown County,"DePere, WI",De Pere Police Department,34,920-339-4078,21332,Wisconsin,Police Departments,,54115-2298,920-339-4082,
8555 W 103rd St,Palos Hills,United States,Cook County,"Palos Hills, IL",Palos Hills Police Department,38,708-598-2992,17800,Illinois,Police Departments,,60465-1398,708-598-1618,
W183 S8150 Racine Ave,Muskego,United States,Waukesha County,"Muskego, WI",Muskego Police Department,31,262-679-4130,18000,Wisconsin,Police Departments,,53150-9480,262-679-4113,
1481 Sterling Rd,Herndon,United States,Fairfax County,"Herndon, VA",Herndon Police Department,50,703-435-6841,17732,Virginia,Police Departments,,20170-3647,703-437-4516,
945 5th St,Los Banos,United States,Merced County,"Los Banos, CA",Los Banos Police Department,37,209-827-7070,30000,California,Police Departments,,93635-4298,209-827-7085,
503 Dewey Ave,Ocean Springs,United States,Jackson County,"Ocean Springs, MS",Ocean Springs Police Department,39,228-875-2211,17642,Mississippi,Police Departments,,39564-4737,228-875-5126,
220 NW Main St,Easley,United States,Pickens County,"Easley, SC",Easley Police Department,25,864-859-4025,17590,South Carolina,Police Departments,,29640-2084,864-855-7924,
215 N New Madrid St,Sikeston,United States,Scott County,"Sikeston, MO",Sikeston Department of Public Safety,65,573-471-6200,17552,Missouri,Police Departments,,63801-4142,573-471-7872,
20 S Clayton St,Lawrenceville,United States,Gwinnett County,"Lawrenceville, GA",Lawrenceville Police Department,55,770-963-2443,17588,Georgia,Police Departments,,30045-5745,770-339-2415,
2201 NE 23rd St,Willmar,United States,Kandiyohi County,"Willmar, MN",Willmar Police Department,32,320-235-2244,19000,Minnesota,Police Departments,,56201-9500,320-231-6556,
101 E State St,Olean,United States,Cattaraugus County,"Olean, NY",Olean City Police Department,39,716-376-5675,17534,New York,Police Departments,,14760-2762,716-376-5668,
5445 Jennings Station Rd,Jennings,United States,St Louis County,"Jennings, MO",Jennings Police Department,46,314-385-4672,16800,Missouri,Police Departments,,63136-3598,314-385-7099,
119 E McPherson St,Kirksville,United States,Adair County,"Kirksville, MO",Kirksville Police Department,25,660-785-6945,20000,Missouri,Police Departments,,63501-3505,660-665-2346,
1000 San Pablo Ave,Albany,United States,Alameda County,"Albany, CA",Albany Police Department,30,510-525-7300,17500,California,Police Departments,,94706-2296,510-525-1360,
30435 Lake Shore Blvd,Willowick,United States,Lake County,"Willowick, OH",Willowick Police Department,25,440-585-1234,14600,Ohio,Police Departments,,44095-4624,440-585-3770,
28 Mentor Ave,Painesville,United States,Lake County,"Painesville, OH",Painesville Police Department,44,440-392-5840,17500,Ohio,Police Departments,,44077-3202,440-352-2609,
219 W Howry Ave,DeLand,United States,Volusia County,"DeLand, FL",Deland Police Department,64,386-740-6910,20000,Florida,Police Departments,,32720-5483,386-740-6842,
1 Vine St,Lansdale,United States,Montgomery County,"Lansdale, PA",Lansdale Police Department (PA),22,215-368-1801,16500,Pennsylvania,Police Departments,https://www.lansdale.org/154/Police,19446-3691,215-393-9429,
4444 Walbert Ave,Allentown,United States,Lehigh County,"Allentown, PA",South Whitehall Township Police Department,34,610-398-0337,17500,Pennsylvania,Police Departments,,18104-1699,610-391-9471,
155 W Connelly Blvd,Sharon,United States,Mercer County,"Sharon, PA",Sharon Police Department,35,724-983-3210,16373,Pennsylvania,Police Departments,,16146-1717,724-983-3205,
850 Waukegan Rd,Deerfield,United States,Lake County,"Deerfield, IL",Deerfield Police Department,40,847-945-8636,17461,Illinois,Police Departments,,60015-3206,847-945-5080,
12500 Elam Rd,Balch Springs,United States,Dallas County,"Balch Springs, TX",Balch Springs Police Department (TX),28,972-557-6000,17430,Texas,Police Departments,,75180-3038,972-557-6081,
112 E 6th St,Apopka,United States,Orange County,"Apopka, FL",Apopka Police Department,76,407-703-1789,29710,Florida,Police Departments,,32703-5397,407-703-1780,
100 N Church Rd,Bensenville,United States,Du Page County,"Bensenville, IL",Bensenville Police Department,40,630-350-3455,20700,Illinois,Police Departments,,60106-2097,630-350-0855,
225 W Renfro St,Burleson,United States,Johnson County,"Burleson, TX",Burleson Police Department (TX),44,817-295-7146,25250,Texas,Police Departments,,76028-4158,817-447-0332,
2395 Elmwood Ave,Kenmore,United States,Erie County,"Kenmore, NY",Kenmore Village Police Department,25,716-875-1234,17231,New York,Police Departments,,14217-2688,716-875-2779,
625 Winslow Way E,Bainbridge Island,United States,Kitsap County,"Bainbridge Island, WA",Bainbridge Island Police Department,22,206-842-5211,22000,Washington,Police Departments,,98110-2411,206-780-8596,
10300 W Roosevelt Rd,Westchester,United States,Cook County,"Westchester, IL",Westchester Police Department,36,708-345-0060,17192,Illinois,Police Departments,,60154-2568,708-345-0799,
123 W Grundy,Tullahoma,United States,Coffee County,"Tullahoma, TN",Tullahoma Police Department,35,931-455-0530,17168,Tennessee,Police Departments,,37388-3515,931-454-1766,
214 Arkansas Ave,Bogalusa,United States,Washington Parish,"Bogalusa, LA",Bogalusa Police Department,37,985-732-6209,15000,Louisiana,Police Departments,,70427-3810,985-732-6253,
31 Avenue C,Johnson City,United States,Broome County,"Johnson City, NY",Johnson City Village Police Department,39,607-729-9321,17010,New York,Police Departments,,13790-2289,607-729-1883,
8650 SW Tualatin Rd,Tualatin,United States,Washington County,"Tualatin, OR",Tualatin Police Department,32,503-691-4800,25000,Oregon,Police Departments,,97062-9480,503-692-9898,
1635 Grove St,Marysville,United States,Snohomish County,"Marysville, WA",Marysville Police Department,31,360-651-5050,18500,Washington,Police Departments,,98270-4301,360-651-5054,
2730 E Andy Devine Ave,Kingman,United States,Mohave County,"Kingman, AZ",Kingman Police Department,46,928-753-2191,20000,Arizona,Police Departments,,86401-4806,928-753-2542,
10 N Main St,Cedar City,United States,Iron County,"Cedar City, UT",Cedar City Police Department,29,435-586-2956,24000,Utah,Police Departments,,84720-2635,435-586-2977,
45 S Main St,Springville,United States,Utah County,"Springville, UT",Springville Police Department,21,801-489-9421,19000,Utah,Police Departments,,84663-1359,801-489-7726,
1290 S Public Rd,Lafayette,United States,Boulder County,"Lafayette, CO",Lafayette Police Department (CO),38,303-665-5571,24000,Colorado,Police Departments,,80026-2706,303-664-1873,
775 N Main St,Spanish Fork,United States,Utah County,"Spanish Fork, UT",Spanish Fork Police Department,21,801-798-5070,25000,Utah,Police Departments,,84660-1146,801-798-5079,
809 Martin Luther King Blvd,Georgetown,United States,Williamson County,"Georgetown, TX",Georgetown Police Department,53,512-930-3510,37000,Texas,Police Departments,,78626-9822,512-930-3524,
104 Cannan Dr,Angleton,United States,Brazoria County,"Angleton, TX",Angleton Police Department,42,979-849-2383,20000,Texas,Police Departments,,77515-3149,979-849-2387,
105 W 12th St,Hays,United States,Ellis County,"Hays, KS",Hays Police Department,29,785-625-1030,20013,Kansas,Police Departments,,67601-3648,785-625-1077,
1 Police Dr,Camden,United States,Ouachita County,"Camden, AR",Camden Police Department,31,870-836-5755,15000,Arkansas,Police Departments,,71701-4647,870-836-8523,
229 N Baltimore,Derby,United States,Sedgwick County,"Derby, KS",Derby Police Department,46,316-788-1557,"22,000",Kansas,Police Departments,http://www.derbyweb.com,67037-1601,316-788-6835,
540 Loves Park Dr,Loves Park,United States,Winnebago County,"Loves Park, IL",Loves Park Police Department,30,815-633-8800,20000,Illinois,Police Departments,,61111-5197,815-633-0555,
10 Montrose Dr,Romeoville,United States,Will County,"Romeoville, IL",Romeoville Police Department,41,815-886-7219,17000,Illinois,Police Departments,,60446-1391,815-886-2763,
3700 W 175th Pl,Country Club Hills,United States,Cook County,"Country Club Hills, IL",Country Club Hills Police Department,27,708-798-3191,17000,Illinois,Police Departments,,60478-4605,708-798-1211,
100 N O'Plaine Rd,Gurnee,United States,Lake County,"Gurnee, IL",Gurnee Police Department,36,847-244-8640,20000,Illinois,Police Departments,,60031-2630,847-244-8690,
275 Harrison St,Anoka,United States,Anoka County,"Anoka, MN",Anoka Police Department,29,763-576-2800,17000,Minnesota,Police Departments,,55303-2999,763-576-2802,
1010 1st St S,Hopkins,United States,Hennepin County,"Hopkins, MN",Hopkins Police Department,26,952-938-8885,18000,Minnesota,Police Departments,,55343-9475,952-939-1375,
300 E Main St,Sun Prairie,United States,Dane County,"Sun Prairie, WI",Sun Prairie Police Department,44,608-837-7336,22000,Wisconsin,Police Departments,,53590-2227,608-825-1100,
1899 N Squirrel Rd,Auburn Hills,United States,Oakland County,"Auburn Hills, MI",Auburn Hills Police Department,42,248-364-6850,19500,Michigan,Police Departments,,48326-2749,248-370-9365,
601 E Broadway,Logansport,United States,Cass County,"Logansport, IN",Logansport Police Department,44,574-753-4101,17000,Indiana,Police Departments,,46947-3156,574-753-0513,
300 Cherry St,Huntington,United States,Huntington County,"Huntington, IN",Huntington Police Department,35,260-358-2308,17000,Indiana,Police Departments,,46750-2677,260-358-2343,
27214 Wolf Rd,Bay Village,United States,Cuyahoga County,"Bay Village, OH",Bay Village Police Department,28,440-871-1234,17000,Ohio,Police Departments,,44140-2041,440-899-3478,
15850 Bagley Rd,Middleburg Hts,United States,Cuyahoga County,"Middleburg Hts, OH",Middleburg Heights Police Department,34,440-243-1234,17000,Ohio,Police Departments,,44130-4834,440-243-0221,
315 S Lowry St,Smyrna,United States,Rutherford County,"Smyrna, TN",Smyrna Police Department,58,615-459-6644,29000,Tennessee,Police Departments,,37167-3435,615-355-5733,
406 Tennessee Blvd,Lebanon,United States,Wilson County,"Lebanon, TN",Lebanon Police Department,50,615-444-2323,20000,Tennessee,Police Departments,,37087-3987,615-443-3960,
301 1st St NE Ste 200,Cullman,United States,Cullman County,"Cullman, AL",Cullman Police Department,45,256-775-7160,20250,Alabama,Police Departments,,35055-3550,256-734-3511,
1905 First Ave N,Pell City,United States,St Clair County,"Pell City, AL",Pell City Police Department,28,205-884-3334,17000,Alabama,Police Departments,,35125-1663,205-814-9079,
450 N Broadway Ave,Bartow,United States,Polk County,"Bartow, FL",Bartow Police Department,54,863-534-5034,17000,Florida,Police Departments,,33830-3915,863-534-5030,
6730 Church St,Douglasville,United States,Douglas County,"Douglasville, GA",Douglasville Police Department,75,770-920-3010,17000,Georgia,Police Departments,,30134-1718,770-920-0734,
123 Barton Blvd,Rockledge,United States,Brevard County,"Rockledge, FL",Rockledge Police Department,42,321-690-3988,20000,Florida,Police Departments,,32955-2735,321-690-3996,
303 W Church St,Laurinburg,United States,Scotland County,"Laurinburg, NC",Laurinburg Police Department,38,910-276-3211,16500,North Carolina,Police Departments,,28353-3719,910-277-3640,
7500 Maple Ave,Takoma Park,United States,Montgomery County,"Takoma Park, MD",Takoma Park Police Department,42,301-270-1100,18600,Maryland,Police Departments,,20912-4998,301-270-1230,
100-A Highland Ave,Colonial Hts,United States,Colonial Heights City County,"Colonial Hts, VA",Colonial Heights Police Department,50,804-520-9311,17000,Virginia,Police Departments,,23834-3140,804-524-8746,
200 S Greeley Ave,Chappaqua,United States,Westchester County,"Chappaqua, NY",New Castle Town Police Department,42,914-238-4422,17000,New York,Police Departments,,10514-3333,914-238-2538,
1 Cedar St,East Hampton,United States,Suffolk County,"East Hampton, NY",East Hampton Village Police Department,44,631-324-0777,17000,New York,Police Departments,,11937-2200,631-324-0702,
200 W New Castle St,Butler,United States,Butler County,"Butler, PA",Butler City Police Department,24,724-287-7744,14000,Pennsylvania,Police Departments,,16001-5225,724-287-0602,
Scott Plaza,Wyckoff,United States,Bergen County,"Wyckoff, NJ",Wyckoff Police Department,26,201-891-2121,17000,New Jersey,Police Departments,,,201-891-2850,
231 S Townsend St,Ada,United States,Pontotoc County,"Ada, OK",Ada Police Department,33,580-332-4466,16962,Oklahoma,Police Departments,,74820-6427,580-436-6384,
122 2nd St SE,New Philadelphia,United States,Tuscarawas County,"New Philadelphia, OH",New Philadelphia Police Department,22,330-343-4488,17056,Ohio,Police Departments,,44663-2567,330-343-4487,
